etapa,document_recall_at_1,document_recall_at_3,document_recall_at_k,page_recall_at_k,mrr,correct_document_citation_rate,correct_page_citation_rate,correct_refusal_rate,improper_refusal_rate,latencia_media_ms,latencia_p95_ms,erros,timeouts
Linha de base,0.6666666666666666,0.8095238095238095,0.8809523809523809,0.38095238095238093,0.748015873015873,0.8809523809523809,0.38095238095238093,1.0,0.3333333333333333,1885.14,3391.0,0,0
Perguntas revisadas,0.7619047619047619,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.8184523809523809,0.9285714285714286,0.7142857142857143,1.0,0.09523809523809523,1918.04,2733.0,0,0
Reranqueamento v2,0.7619047619047619,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.8184523809523809,0.9761904761904762,0.8095238095238095,1.0,0.0,3022.66,5422.0,0,0
