split,method,answerable_count,hit_rate_at_1,hit_rate_at_8,mrr,page_exact,page_tolerance_1,mean_retrieval_time_ms
development,BM25,42,0.8809523809523809,0.9761904761904762,0.9174603174603174,0.8571428571428571,0.9047619047619048,6.975354380918881
development,Denso,42,0.7619047619047619,0.9285714285714286,0.8184523809523809,0.7142857142857143,0.7857142857142857,12.80952380952381
final,BM25,42,0.9761904761904762,1.0,0.9880952380952381,0.7380952380952381,0.7619047619047619,8.133766714243913
final,Denso,42,0.6428571428571429,0.8333333333333334,0.7125283446712019,0.5,0.5238095238095238,12.952380952380953
